Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy
35,29,15,42,80,18,0.4,0.0325,0.0,0.4481793246456087
36,44,13,27,70,24,0.8,0.0925,0.0003375,0.2440779905140548
37,45,17,49,73,20,0.2,0.0625,0.000675,0.3607020692201977
38,47,22,51,81,13,0.7000000000000002,0.0825,0.0007875,0.4489560011642436
39,40,10,50,75,14,0.3,0.0425,0.00045,0.5024902113280779
40,38,11,34,64,12,0.2,0.0425,0.0005625,0.4119451820696683
41,40,17,43,64,16,0.3,0.0425,0.0005625,0.4579014926017519
42,37,33,53,57,27,0.2,0.0425,0.0007875,0.5808492888872824
43,42,16,43,66,15,0.2,0.0625,0.000675,0.4462724523933079
44,54,16,29,65,11,0.4,0.0725,0.00045,0.4482804393682119
45,44,30,42,79,12,0.7000000000000002,0.0225,0.00045,0.4731016844802438
46,33,12,42,72,14,0.4,0.0525,0.0005625,0.5517186860712745
47,44,11,39,60,21,0.7000000000000002,0.0425,0.0005625,0.3015813681474137
48,42,17,25,59,18,0.4,0.0525,0.0007875,0.4199320305984475
49,37,33,47,75,19,0.8,0.0725,0.00045,0.2980890953590163
50,45,27,48,57,26,0.4,0.0425,0.0003375,0.2694951610310654
51,37,19,37,72,21,0.6000000000000001,0.0925,0.0,0.3091092730188357
52,38,27,27,56,28,0.6000000000000001,0.0525,0.0009,0.2418677748287456
53,44,18,25,56,12,0.6000000000000001,0.0225,0.00045,0.2518451168156596
54,31,14,46,62,17,0.6000000000000001,0.0325,0.0005625,0.5354816107572214
55,29,19,26,57,23,0.2,0.0625,0.0005625,0.4892140016530637
56,40,20,32,63,19,0.7000000000000002,0.0925,0.0009,0.3101060488216126
57,48,12,41,53,27,0.5,0.0825,0.0001125,0.347474948385347
58,36,33,37,74,15,0.2,0.0225,0.0003375,0.599382146762953
59,39,24,25,79,10,0.2,0.0525,0.000225,0.448504025405663
60,46,19,32,68,18,0.8,0.0325,0.0001125,0.2187009315419328
61,43,23,36,78,26,0.5,0.0425,0.000225,0.618043231212719
62,41,28,27,65,26,0.3,0.0925,0.0005625,0.4495147951783209
63,51,25,42,63,26,0.7000000000000002,0.0625,0.00045,0.3352334364372632
64,40,21,25,53,29,0.7000000000000002,0.0825,0.0007875,0.2628131311467343
65,33,10,34,70,18,0.6000000000000001,0.0425,0.0003375,0.5240045059139465
66,28,14,49,75,14,0.4,0.0525,0.0001125,0.4847209600335689
67,37,34,42,50,24,0.7000000000000002,0.0625,0.00045,0.3458818453870374
68,39,27,44,55,21,0.3,0.0425,0.000225,0.4840575861682639
69,45,19,41,79,19,0.6000000000000001,0.0925,0.000225,0.2686919378509041
70,40,26,42,79,26,0.2,0.0525,0.0009,0.6732739004087565
